name|barrel_pct|hard_hit_pct|woba|xwoba
Nate Eaton|10|35|.267|.291
Brooks Lee|3.8|33.3|.319|.273
Vaughn Grissom|7.5|38.4|.310|.317
Joey Bart|7.7|34.6|.299|.295
Edouard Julien|7.3|49.7|.287|.338
Jacob Gonzalez|4.1|36.3|.285|.308
A.J. Ewing|6.9|41.2|.294|.312
Brett Baty|9.6|41.8|.283|.305
Edmundo Sosa|7.5|39.8|.294|.339
Victor Mederos|0|100|.890|.543
Alex Freeland|6.5|37.7|.277|.285
Joey Wiemer|10|39|.397|.315
Enrique Hernández|9.4|37.5|.288|.267
Austin Hedges|4.5|31.8|.313|.277
Brady House|10.8|48.1|.312|.334
J.T. Realmuto|5.1|40.8|.290|.324
Miguel Amaya|6.8|34.6|.317|.291
Tommy Edman|5.8|35.7|.342|.320
Henry Davis|8.4|39.3|.257|.285
Isiah Kiner-Falefa|2.8|26.9|.310|.306
Xander Bogaerts|6.1|41.5|.293|.323
Kody Clemens|12.2|47|.329|.339
Francisco Alvarez|15.5|44.9|.314|.322
Colt Emerson|5|31.2|.256|.248
Braden Shewmake|6.9|37|.296|.294
Luis Urías|7|30.2|.345|.299
Moisés Ballesteros|8.9|45.8|.266|.290
Pedro Pagés|4.5|37.9|.257|.268
Seiya Suzuki|10.4|38.5|.371|.341
